REGION,MARKET,BRM,BLDIMAGE,BRANDDIFFERENTIATOR,BRANDFAMILY,BRANDONMARKET,BRANDSUBFAMILY,BRANDSUBFAMILYGROUP,BRANDSUBFAMILYGROUPING,BRANDSUBFAMILYLINE,CHARINDICATOR,BRMID,INDICATOR,RTYPE,INTERNATIONALINDICATOR,ISREPLACEMENT,ISSTRATEGIC,ITEMSHAPE,ITEMSCODE,LATESTPERIODINDEX,LEN,LENCATEGORY,PRICECLASS,LOCALCLASS,MARKETEDBRAND,MINDICATOR,NCON,NPLLAUNCHDATE,NPLLAUNCHYEAR,PCKT,PRICECLASSON,TCLASS,RETAILPACKPRICE,SPECIALFLAVOR,TRCONTE,THICATEGORY,TIPCOLOR,TRACKINGSTATUS,Market_Share
REGION1,MARKET7,BRM258,BLDIMAGE9,BRANDDIFFERENTIATOR493,BRANDFAMILY18,BRANDONMARKET258,BRANDSUBFAMILY18,BRANDSUBFAMILYGROUP18,BRANDSUBFAMILYGROUPING18,BRANDSUBFAMILYLINE18,CHARINDICATOR2,60038896,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND258,MINDICATOR2,0,201108,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,22.8,SPECIALFLAVOR7,7,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.01026373862
REGION1,MARKET7,BRM535,BLDIMAGE9,BRANDDIFFERENTIATOR230,BRANDFAMILY43,BRANDONMARKET535,BRANDSUBFAMILY43,BRANDSUBFAMILYGROUP43,BRANDSUBFAMILYGROUPING43,BRANDSUBFAMILYLINE43,CHARINDICATOR2,50065469,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS11,MARKETEDBRAND535,MINDICATOR2,0,200906,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON3,TCLASS3,16.3,SPECIALFLAVOR7,4,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0006131345805
REGION1,MARKET7,BRM536,BLDIMAGE7,BRANDDIFFERENTIATOR331,BRANDFAMILY43,BRANDONMARKET536,BRANDSUBFAMILY43,BRANDSUBFAMILYGROUP43,BRANDSUBFAMILYGROUPING43,BRANDSUBFAMILYLINE43,CHARINDICATOR2,60071378,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND536,MINDICATOR2,0,201408,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON3,TCLASS2,17.3,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,9.43E-05
REGION1,MARKET7,BRM538,BLDIMAGE9,BRANDDIFFERENTIATOR425,BRANDFAMILY43,BRANDONMARKET538,BRANDSUBFAMILY43,BRANDSUBFAMILYGROUP43,BRANDSUBFAMILYGROUPING43,BRANDSUBFAMILYLINE43,CHARINDICATOR2,50065467,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND538,MINDICATOR2,0,200906,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON3,TCLASS1,16.3,SPECIALFLAVOR7,12,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001921560736
REGION1,MARKET7,BRM540,BLDIMAGE9,BRANDDIFFERENTIATOR493,BRANDFAMILY43,BRANDONMARKET540,BRANDSUBFAMILY43,BRANDSUBFAMILYGROUP43,BRANDSUBFAMILYGROUPING43,BRANDSUBFAMILYLINE43,CHARINDICATOR2,50065468,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND540,MINDICATOR2,0,200906,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON3,TCLASS2,16.3,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001710306475
REGION1,MARKET7,BRM699,BLDIMAGE9,BRANDDIFFERENTIATOR272,BRANDFAMILY45,BRANDONMARKET699,BRANDSUBFAMILY91,BRANDSUBFAMILYGROUP47,BRANDSUBFAMILYGROUPING91,BRANDSUBFAMILYLINE50,CHARINDICATOR2,50066531,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,83,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND699,MINDICATOR2,0,200909,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON4,TCLASS2,14.8,SPECIALFLAVOR7,9,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0003171540845
REGION1,MARKET7,BRM701,BLDIMAGE9,BRANDDIFFERENTIATOR272,BRANDFAMILY45,BRANDONMARKET701,BRANDSUBFAMILY91,BRANDSUBFAMILYGROUP47,BRANDSUBFAMILYGROUPING91,BRANDSUBFAMILYLINE50,CHARINDICATOR2,50066532,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,83,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND701,MINDICATOR2,0,200909,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON4,TCLASS2,18.3,SPECIALFLAVOR7,9,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001299250038
REGION1,MARKET7,BRM744,BLDIMAGE2,BRANDDIFFERENTIATOR307,BRANDFAMILY45,BRANDONMARKET744,BRANDSUBFAMILY66,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING66,BRANDSUBFAMILYLINE48,CHARINDICATOR2,50074382,INDICATOR2,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,83,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND744,MINDICATOR1,0,201011,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON4,TCLASS2,20.6,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,0.001381479246
REGION1,MARKET7,BRM745,BLDIMAGE2,BRANDDIFFERENTIATOR307,BRANDFAMILY45,BRANDONMARKET745,BRANDSUBFAMILY66,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING66,BRANDSUBFAMILYLINE48,CHARINDICATOR2,60071379,INDICATOR2,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,83,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND745,MINDICATOR1,0,201404,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON4,TCLASS2,25.3,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,0.00229381742
REGION1,MARKET7,BRM746,BLDIMAGE2,BRANDDIFFERENTIATOR310,BRANDFAMILY45,BRANDONMARKET746,BRANDSUBFAMILY78,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING78,BRANDSUBFAMILYLINE48,CHARINDICATOR2,50065849,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,83,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND746,MINDICATOR1,0,200907,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON4,TCLASS2,15.75,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,0.0001982018519
REGION1,MARKET7,BRM763,BLDIMAGE7,BRANDDIFFERENTIATOR331,BRANDFAMILY45,BRANDONMARKET763,BRANDSUBFAMILY102,BRANDSUBFAMILYGROUP48,BRANDSUBFAMILYGROUPING102,BRANDSUBFAMILYLINE51,CHARINDICATOR2,60078069,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND763,MINDICATOR2,0,201408,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON4,TCLASS2,20.6,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,7.01E-05
REGION1,MARKET7,BRM1000,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY58,BRANDONMARKET1000,BRANDSUBFAMILY117,BRANDSUBFAMILYGROUP62,BRANDSUBFAMILYGROUPING117,BRANDSUBFAMILYLINE65,CHARINDICATOR2,50073704,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,83,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND1000,MINDICATOR2,0,201006,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON3,TCLASS2,15.95,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0002489071038
REGION1,MARKET7,BRM1001,BLDIMAGE9,BRANDDIFFERENTIATOR267,BRANDFAMILY58,BRANDONMARKET1001,BRANDSUBFAMILY117,BRANDSUBFAMILYGROUP62,BRANDSUBFAMILYGROUPING117,BRANDSUBFAMILYLINE65,CHARINDICATOR2,50073684,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,83,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND1001,MINDICATOR2,0,201006,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON3,TCLASS2,15.95,SPECIALFLAVOR7,6,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0002074694515
REGION1,MARKET7,BRM1002,BLDIMAGE9,BRANDDIFFERENTIATOR301,BRANDFAMILY58,BRANDONMARKET1002,BRANDSUBFAMILY117,BRANDSUBFAMILYGROUP62,BRANDSUBFAMILYGROUPING117,BRANDSUBFAMILYLINE65,CHARINDICATOR2,60055269,INDICATOR2,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND1002,MINDICATOR2,0,201304,NPLLAUNCHYEAR6,PCKT11,PRICECLASSON3,TCLASS1,22.7,SPECIALFLAVOR7,12,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.001682451968
REGION1,MARKET7,BRM1003,BLDIMAGE9,BRANDDIFFERENTIATOR305,BRANDFAMILY58,BRANDONMARKET1003,BRANDSUBFAMILY117,BRANDSUBFAMILYGROUP62,BRANDSUBFAMILYGROUPING117,BRANDSUBFAMILYLINE65,CHARINDICATOR2,60055271,INDICATOR2,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS11,MARKETEDBRAND1003,MINDICATOR2,0,201304,NPLLAUNCHYEAR6,PCKT11,PRICECLASSON3,TCLASS3,22.7,SPECIALFLAVOR7,4,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.0005629363737
REGION1,MARKET7,BRM1004,BLDIMAGE9,BRANDDIFFERENTIATOR302,BRANDFAMILY58,BRANDONMARKET1004,BRANDSUBFAMILY117,BRANDSUBFAMILYGROUP62,BRANDSUBFAMILYGROUPING117,BRANDSUBFAMILYLINE65,CHARINDICATOR2,60047165,INDICATOR2,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,84,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND1004,MINDICATOR2,0,201107,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON3,TCLASS2,15.95,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,0.002360686273
REGION1,MARKET7,BRM1005,BLDIMAGE9,BRANDDIFFERENTIATOR515,BRANDFAMILY58,BRANDONMARKET1005,BRANDSUBFAMILY117,BRANDSUBFAMILYGROUP62,BRANDSUBFAMILYGROUPING117,BRANDSUBFAMILYLINE65,CHARINDICATOR2,50073705,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,25,12,83,LENCATEGORY2,PRICECLASS10,LOCALCLASS11,MARKETEDBRAND1005,MINDICATOR2,0,201006,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON3,TCLASS3,15.95,SPECIALFLAVOR7,4,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2,7.38E-05
REGION1,MARKET41,BRM17,BLDIMAGE2,BRANDDIFFERENTIATOR467,BRANDFAMILY6,BRANDONMARKET17,BRANDSUBFAMILY6,BRANDSUBFAMILYGROUP6,BRANDSUBFAMILYGROUPING6,BRANDSUBFAMILYLINE6,CHARINDICATOR1,50067701,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND17,MINDICATOR2,0,201004,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON3,TCLASS1,45,NA,10,THICATEGORY4,NA,TRACKINGSTATUS2,0.0001554588791
REGION1,MARKET41,BRM335,BLDIMAGE2,BRANDDIFFERENTIATOR98,BRANDFAMILY41,BRANDONMARKET335,BRANDSUBFAMILY41,BRANDSUBFAMILYGROUP41,BRANDSUBFAMILYGROUPING41,BRANDSUBFAMILYLINE41,CHARINDICATOR1,50060833,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND335,MINDICATOR2,0.6,200809,NPLLAUNCHYEAR1,PCKT21,PRICECLASSON3,TCLASS2,0,NA,7,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,0.0002332380559
REGION1,MARKET41,BRM430,BLDIMAGE2,BRANDDIFFERENTIATOR1,BRANDFAMILY41,BRANDONMARKET430,BRANDSUBFAMILY41,BRANDSUBFAMILYGROUP41,BRANDSUBFAMILYGROUPING41,BRANDSUBFAMILYLINE41,CHARINDICATOR2,50060834,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND430,MINDICATOR1,0.6,200811,NPLLAUNCHYEAR1,PCKT21,PRICECLASSON3,TCLASS2,0,NA,7,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,0.0001311519689
REGION1,MARKET41,BRM447,BLDIMAGE2,BRANDDIFFERENTIATOR467,BRANDFAMILY41,BRANDONMARKET447,BRANDSUBFAMILY41,BRANDSUBFAMILYGROUP41,BRANDSUBFAMILYGROUPING41,BRANDSUBFAMILYLINE41,CHARINDICATOR1,50060832,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND447,MINDICATOR2,0.8,200809,NPLLAUNCHYEAR1,PCKT21,PRICECLASSON3,TCLASS1,0,NA,10,THICATEGORY4,TIPCOLOR7,TRACKINGSTATUS2,0.0001532016472
